model,rmse,mae,r2,asymmetric_score,overestimated_pct,underestimated_pct,training_time,best_iteration
Linear Regression,6.810508410909662,5.406917531938594,0.972814630974583,8.236884843948674,57.70176615247038,42.29823384752962,0.1416308879852295,
Random Forest,5.708626008786092,3.968453211247303,0.9808997369183396,5.123917686687045,27.96780684104628,71.45092778895595,4.777269124984741,
XGBoost,0.9283866756450984,0.4237541005668319,0.9994948341743424,0.5047957011145179,36.99977643639616,63.00022356360384,19.613115549087524,999.0
LSTM,3.5481154918670654,3.120826244354248,0.9927032445029124,5.770038614556517,78.89070910367423,,148.52474355697632,
